Date,Time,Open,High,Low,Close,Volume
27-03-2011,21:00:00,37.194,37.194,37.094,37.104,59
27-03-2011,22:00:00,37.114,37.164,37.088,37.134,59
27-03-2011,23:00:00,37.133,37.143,37.003,37.003,60
28-03-2011,00:00:00,37.004,37.094,36.933,37.013,90
28-03-2011,01:00:00,37.007,37.054,36.603,36.673,96
28-03-2011,02:00:00,36.684,36.754,36.603,36.714,60
28-03-2011,03:00:00,36.713,36.874,36.693,36.834,60
28-03-2011,04:00:00,36.833,36.864,36.673,36.684,60
28-03-2011,05:00:00,36.684,36.753,36.574,36.623,60
28-03-2011,06:00:00,36.613,36.654,36.406,36.484,174
28-03-2011,07:00:00,36.483,36.644,36.473,36.614,86
28-03-2011,08:00:00,36.613,37.014,36.603,36.923,168
28-03-2011,09:00:00,36.924,37.044,36.743,37.013,70
28-03-2011,10:00:00,37.003,37.174,36.933,37.073,62
28-03-2011,11:00:00,37.064,37.094,36.924,37.053,62
28-03-2011,12:00:00,37.054,37.214,37.043,37.083,69
28-03-2011,13:00:00,37.083,37.164,37.05,37.123,75
28-03-2011,14:00:00,37.133,37.174,37.023,37.113,60
28-03-2011,15:00:00,37.114,37.134,37.058,37.101,31
28-03-2011,16:00:00,37.087,37.19,37.087,37.167,30
28-03-2011,17:00:00,37.169,37.174,37.032,37.114,60
28-03-2011,18:00:00,37.104,37.124,36.983,36.994,60
28-03-2011,19:00:00,36.994,37.004,36.833,36.863,60
28-03-2011,20:00:00,36.853,36.974,36.843,36.873,59
28-03-2011,21:00:00,36.863,36.933,36.833,36.913,60
28-03-2011,22:00:00,36.914,37.004,36.892,37.003,60
28-03-2011,23:00:00,37.003,37.014,36.973,36.993,60
29-03-2011,00:00:00,36.994,37.084,36.953,37.003,60
29-03-2011,01:00:00,37.014,37.044,36.953,37.004,62
29-03-2011,02:00:00,37.003,37.014,36.713,36.824,60
29-03-2011,03:00:00,36.823,36.844,36.583,36.603,62
29-03-2011,04:00:00,36.603,36.644,36.503,36.544,61
29-03-2011,05:00:00,36.543,36.744,36.512,36.717,62
29-03-2011,06:00:00,36.716,36.814,36.613,36.794,74
29-03-2011,07:00:00,36.793,36.924,36.753,36.854,72
29-03-2011,08:00:00,36.832,36.994,36.683,36.933,79
29-03-2011,09:00:00,36.934,37.154,36.893,37.113,67
29-03-2011,10:00:00,37.114,37.184,36.934,36.934,70
29-03-2011,11:00:00,36.933,37.034,36.813,36.984,97
29-03-2011,12:00:00,36.983,37.044,36.913,37.014,63
29-03-2011,13:00:00,37.013,37.024,36.913,36.994,77
29-03-2011,14:00:00,36.993,37.074,36.993,37.017,66
29-03-2011,15:00:00,37.016,37.044,37.005,37.039,29
29-03-2011,16:00:00,36.882,37.117,36.882,36.987,79
29-03-2011,17:00:00,36.986,37.064,36.966,37.053,81
